A,B,Title,,Source
50 State,GP3 Partners,,,https://gp3partners.com/leadership/
76 Group,GP3 Partners,,,https://gp3partners.com/leadership/
Abigail Williamson,IMGE,Prospecting Strategist,,https://imge.com/about
Adam Meldrum,IMGE,Senior Advisor,,https://imge.com/about
Adam Parcel,IMGE,Marketing Strategist,,https://imge.com/about
Alex Alvarado,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Alex Koch,Bullpen Strategy Group,Vice President,,https://bullpenstrategygroup.com/team/
Alex Large,GuidePost Strategies,Principal,,https://www.guidepost-strategies.com/our-team
Alex Skatell,IMGE,,,https://gp3partners.com/leadership/
Alex Smith,IMGE,Senior Motion Editor,,https://imge.com/about
Alexander Large,GuidePost Strategies,,,https://gp3partners.com/leadership/
Allison Harris,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Amanda Boris Stevens,Red Maverick Media,Vice President,,https://www.redmaverickmedia.com/our-team/
Amily Karrs,IMGE,Director of Creative Strategy,,https://imge.com/about
Andrew Bell,76 Group,Vice President of Campaigns,,https://www.76.group/who-we-are/
Andrew Goodfellow,Bullpen Strategy Group,Senior Vice President,,https://bullpenstrategygroup.com/team/
Andrew Mullins,IMGE,Vice President of Advertising and Data Operations,,https://imge.com/about
Andrew Ochoa,Bullpen Strategy Group,Senior Director,,https://bullpenstrategygroup.com/team/
Andrew Romeo,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Anna Tereshinki,Strategic Partners & Media,Vice President of Client Services,,https://strategicpartnersmedia.com/our-team/
Anne Sessions,Strategic Partners & Media,Director of Production,,https://strategicpartnersmedia.com/our-team/
Anthony Pileggi,Strategic Partners & Media,Partner,,https://strategicpartnersmedia.com/our-team/
Ascent Media,GP3 Partners,,,https://gp3partners.com/leadership/
Ashley O'Connor,GP3 Partners,,,https://gp3partners.com/leadership/
Ashley O'Connor,Strategic Partners & Media,Managing Partner,,https://strategicpartnersmedia.com/our-team/
Austin Barbour,GP3 Partners,,,https://gp3partners.com/leadership/
Austin Barbour,Strategic Partners & Media,Partner,,https://strategicpartnersmedia.com/our-team/
Beau Flores,76 Group,Of Councel,,https://www.76.group/who-we-are/
Becky Kramer,Public Opinion Strategies,Staff,,https://pos.org/
Ben Puglia,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Ben Vihstadt,Bullpen Strategy Group,Vice President,,https://bullpenstrategygroup.com/team/
Bess Toole,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Beth Hitchcock,Bullpen Strategy Group,Senior Vice President,,https://bullpenstrategygroup.com/team/
Beth Maumann,IMGE,Senior Content Manager,,https://imge.com/about
Bill McInturff,GP3 Partners,,,https://gp3partners.com/leadership/
Bill McInturff,Public Opinion Strategies,Leadership,,https://pos.org/
Blitz Canvassing,GP3 Partners,,,https://gp3partners.com/leadership/
Bo Mi Yoon,IMGE,Senior Graphic Designer,,https://imge.com/about
Brian Rogers,Bullpen Strategy Group,Partner,,https://bullpenstrategygroup.com/team/
Brooke Morrow,Strategic Partners & Media,Digital Media Coordinator,,https://strategicpartnersmedia.com/our-team/
Bullpen Strategy Group,GP3 Partners,,,https://gp3partners.com/leadership/
Caitlin Reed,Public Opinion Strategies,Leadership,,https://pos.org/
Caleb Fisher,Ascent Media,Senior Vice President of Creative Strategy,,https://www.ascent.media/who-we-are
Carl Sceusa,IMGE,CEO,,https://imge.com/about
Caroline Dorrell,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Carter Reese,Bullpen Strategy Group,Managing Director,,https://bullpenstrategygroup.com/team/
Chandler Smith Costello,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Chris Hartline,IMGE,Communications,,https://gp3partners.com/leadership/
Chris Hartline,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Chris Leavitt,Red Maverick Media,Partner,,https://www.redmaverickmedia.com/our-team/
Chris Martin,Bullpen Strategy Group,Managing Director,,https://bullpenstrategygroup.com/team/
Christian Hertenstein,Bullpen Strategy Group,Partner,,https://bullpenstrategygroup.com/team/
Clay Bartel,Bullpen Strategy Group,Chief Financial Officer,,https://bullpenstrategygroup.com/team/
Cody Hall,Ascent Media,Senior Vice President,,https://www.ascent.media/who-we-are
Colin McInroe,Public Opinion Strategies,Staff,,https://pos.org/
Colm O'Comartun,50 State,Founding Partner,,https://gp3partners.com/leadership/
Colm O'Comartun,GP3 Partners,,,https://gp3partners.com/leadership/
Conner Downard,IMGE,Vice President of Marketing,,https://imge.com/about
Connor Smith,Red Maverick Media,Vice President of Operations,,https://www.redmaverickmedia.com/our-team/
Connor Whitney,Ascent Media,Communications Associate,,https://www.ascent.media/who-we-are
Cori Willson,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Corinne Nakagawa,Red Maverick Media,Graphic Designer,,https://www.redmaverickmedia.com/our-team/
Courtney Weaver,IMGE,Digital Marketing Lead,,https://gp3partners.com/leadership/
Courtney Weaver,IMGE,Executive Vice President,,https://imge.com/about
Crystall Essman,76 Group,Vice President of Strategic Communications,,https://www.76.group/who-we-are/
Dan Bradbury,IMGE,Senior Advisor,,https://imge.com/about
Daniel Scarpinato,76 Group,Of Counsel,,https://www.76.group/who-we-are/
Daniel Vu,Bullpen Strategy Group,Senior Vice President,,https://bullpenstrategygroup.com/team/
Danielle DeLisle,50 State,Managing Director,,https://50-state.com/our-team/
Danielle Stoebe,P2 Public Affairs,,,https://p2publicaffairs.com/team/
Danny Botta,IMGE,Senior Web Developer,,https://imge.com/about
Darrell Lauterbach,GP3 Partners,,,https://gp3partners.com/leadership/
David James,FLS Connect,,,https://gp3partners.com/leadership/
David James,GP3 Partners,,,https://gp3partners.com/leadership/
David Seawright,GP3 Partners,,,https://gp3partners.com/leadership/
David Seawright,GP3 Tech,,,https://gp3partners.com/leadership/david-seawright/
Dawn Legere,Public Opinion Strategies,Staff,,https://pos.org/
Denise Zucco,Strategic Partners & Media,Chief of Staff,,https://strategicpartnersmedia.com/our-team/
